,,
"Codebook for ""final_dataset_SYK""",,
,,
Column,Meaning,
ID,City-specific ID from GHS-SMOD urban boudary datasets,
City_GHS_SMOD,City name,
Country,Country  where a city is located in,
GBDSuperRegion,GBD super-region category of a country where a city is located in,
Year,Year,
Pw_PM_V2,Population-weighted annual average PM2.5 (ug/m3),
Pw_NO2_V2,Population-weighted annual average NO2 (ppb),
Pw_O3_V2,Population-weighted annual average O3 (ppb),
CO2_V2,Fossil-fuel CO2 emissions per captia (metric tons),
